timestamp,node_id,pressure,water_temp,light_lux,tds_value,soil_moisture,air_temp,humidity,leaf_temp
2026-06-18 16:30:09,3750866944,100938.14,27.31,231.67,582.85,74.14,32.99,37.08,33.91
2026-06-18 16:32:13,3750866944,100934.92,27.38,230.0,545.13,74.34,32.99,37.2,33.38
2026-06-18 16:34:17,3750866944,100932.25,27.31,228.33,556.46,75.83,33.06,37.31,33.82
2026-06-18 16:36:21,3750866944,100928.78,27.44,227.5,550.5,74.85,33.09,37.17,34.04
2026-06-18 16:38:26,3750866944,100932.2,27.44,226.67,553.06,75.36,32.86,37.61,33.45
2026-06-18 16:40:30,3750866944,100935.12,27.44,226.67,563.12,74.31,32.73,37.88,33.48
2026-06-18 16:42:34,3750866944,100935.12,27.5,227.5,568.5,76.14,32.73,38.28,33.49
2026-06-18 16:44:39,3750866944,100936.5,27.75,229.17,541.08,74.2,32.93,37.66,33.88
2026-06-18 16:46:43,3750866944,100931.39,27.69,230.0,559.2,74.61,32.85,38.07,33.41
2026-06-18 16:48:47,3750866944,100932.75,27.88,230.83,562.32,74.31,32.89,37.94,33.45
2026-06-18 16:50:52,3750866944,100930.58,27.94,230.83,531.25,73.56,32.86,38.19,33.23
2026-06-18 16:52:56,3750866944,100927.64,28.06,229.17,569.76,73.8,32.82,38.12,33.39
2026-06-18 16:55:00,3750866944,100928.46,28.19,229.17,565.12,74.51,32.88,37.8,33.46
2026-06-18 16:57:05,3750866944,100928.98,28.25,172.5,580.59,74.31,32.89,37.75,33.46
2026-06-18 16:59:09,3750866944,100922.55,27.12,221.67,562.4,75.15,32.75,38.21,32.94
2026-06-18 17:01:13,3750866944,100923.01,26.38,218.33,573.56,74.07,32.53,38.69,32.71
2026-06-18 17:03:18,3750866944,100926.81,26.5,216.67,586.88,76.24,32.67,38.69,32.85
2026-06-18 17:05:22,3750866944,100920.38,26.31,215.0,604.94,73.83,32.64,38.54,32.45
2026-06-18 17:07:26,3750866944,100914.49,26.38,213.33,575.1,75.9,32.66,38.84,32.66
2026-06-18 17:09:31,3750866944,100913.66,26.56,210.0,587.92,73.42,32.62,38.95,32.62
2026-06-18 17:11:35,3750866944,100912.77,26.0,207.5,559.3,76.37,32.41,39.09,32.41
2026-06-18 17:13:39,3750866944,100910.98,26.19,207.5,577.26,73.59,32.59,39.26,32.77
2026-06-18 17:15:44,3750866944,100911.03,25.81,208.33,598.24,74.37,32.69,39.14,32.89
2026-06-18 17:17:48,3750866944,100908.3,25.62,207.5,586.69,73.53,32.57,39.47,32.75
2026-06-18 17:19:52,3750866944,100910.77,25.69,206.67,561.33,75.22,32.71,39.66,32.9
2026-06-18 17:21:57,3750866944,100903.58,25.94,206.67,538.12,75.25,32.93,40.22,33.12
2026-06-18 17:24:01,3750866944,100912.91,25.75,207.5,527.97,75.15,32.84,40.4,32.81
2026-06-18 17:26:05,3750866944,100909.45,25.56,200.83,521.57,75.42,32.78,41.15,32.6
2026-06-18 17:28:10,3750866944,100904.36,25.25,204.17,519.99,75.29,32.84,41.38,32.65
